cooalpha,codalpha,comcode,year,imports_total,imports_ex_special,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility_pref_mfn_0,eligibility_pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref,pur_pct
AD,EE,94049090,2023,9556,9556,0,0,9556,0,0,0,0,0,0,0,0,9556,0,0,9556,9556,1.0
AD,ES,4090000,2022,3894,3894,3894,0,0,0,0,0,0,0,3894,0,0,0,0,0,0,0,
AD,ES,38249993,2023,72322,72322,0,0,72322,0,0,0,0,0,0,0,0,72322,0,0,72322,72322,1.0
AD,ES,85235200,2022,6162572,6162572,6162572,0,0,0,0,0,0,6162572,0,0,0,0,0,0,0,0,
AD,ES,85235200,2023,7102318,7102318,7102318,0,0,0,0,0,0,7102318,0,0,0,0,0,0,0,0,
AD,ES,85235200,2024,9046423,9046423,9046423,0,0,0,0,0,0,9046423,0,0,0,0,0,0,0,0,
AD,ES,85235200,2025,10290988,10290988,10290988,0,0,0,0,0,0,10290988,0,0,0,0,0,0,0,0,
AD,ES,85235200,2026,1797901,1797901,1797901,0,0,0,0,0,0,1797901,0,0,0,0,0,0,0,0,
AD,ES,85423190,2024,145223,145223,145223,0,0,0,0,0,0,145223,0,0,0,0,0,0,0,0,
AD,ES,85423190,2025,302953,302953,302953,0,0,0,0,0,0,302953,0,0,0,0,0,0,0,0,
AD,ES,85423190,2026,36414,36414,36414,0,0,0,0,0,0,36414,0,0,0,0,0,0,0,0,
AD,ES,88073000,2022,1196,1196,1196,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,
AD,ES,99190000,2023,1500,1500,1500,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,
AD,FI,85176200,2026,103211,103211,103211,0,0,0,0,0,0,103211,0,0,0,0,0,0,0,0,
AD,FR,6029050,2022,17000,17000,17000,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,
AD,FR,57032999,2024,9781,9781,0,0,9781,0,0,0,0,0,0,0,0,9781,0,0,9781,9781,1.0
AD,FR,73251000,2024,23729,23729,23729,0,0,0,0,0,0,23729,0,0,0,0,0,0,0,0,
AD,FR,84099100,2022,5705,5705,0,0,5705,0,0,0,0,0,5705,0,0,0,0,0,5705,0,0.0
AD,FR,84099900,2023,9876,9876,0,0,9876,0,0,0,0,0,9876,0,0,0,0,0,9876,0,0.0
AD,FR,84159000,2022,3460,3460,0,0,3460,0,0,0,0,0,3460,0,0,0,0,0,3460,0,0.0
AD,FR,84189910,2022,11617,11617,11617,0,0,0,0,0,0,11617,0,0,0,0,0,0,0,0,
AD,FR,85365080,2023,898,898,898,0,0,0,0,0,0,898,0,0,0,0,0,0,0,0,
AD,FR,85423190,2022,3005,3005,3005,0,0,0,0,0,0,3005,0,0,0,0,0,0,0,0,
AD,FR,85423310,2022,1233,1233,1233,0,0,0,0,0,0,1233,0,0,0,0,0,0,0,0,
AD,FR,87032490,2022,145000,145000,0,0,145000,0,0,0,0,0,145000,0,0,0,0,0,145000,0,0.0
AD,FR,87116010,2024,22718,22718,0,0,22718,0,0,0,0,0,0,0,0,22718,0,0,22718,22718,1.0
AD,FR,87120030,2023,2839,2839,0,0,2839,0,0,0,0,0,2839,0,0,0,0,0,2839,0,0.0
AD,FR,87120030,2024,2820,2820,0,0,2820,0,0,0,0,0,0,0,0,2820,0,0,2820,2820,1.0
AD,FR,87120070,2025,3417,3417,0,0,3417,0,0,0,0,0,3417,0,0,0,0,0,3417,0,0.0
AD,FR,87149110,2026,1923,1923,0,0,1923,0,0,0,0,0,1923,0,0,0,0,0,1923,0,0.0
AD,FR,87149990,2026,897,897,0,0,897,0,0,0,0,0,897,0,0,0,0,0,897,0,0.0
AD,FR,94033099,2024,1608,1608,1608,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,
AD,FR,94036010,2022,1575,1575,1575,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,
AD,FR,94049090,2024,2516,2516,0,0,2516,0,0,0,0,0,2516,0,0,0,0,0,2516,0,0.0
AD,FR,97019100,2023,108367,108367,108367,0,0,0,0,0,0,108367,0,0,0,0,0,0,0,0,
AD,FR,97051000,2023,5782,5782,5782,0,0,0,0,0,0,5782,0,0,0,0,0,0,0,0,
AD,FR,97053900,2023,23429,23429,23429,0,0,0,0,0,0,23429,0,0,0,0,0,0,0,0,
AD,FR,97069000,2023,1654,1654,1654,0,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,
AD,HK,84715000,2025,2935,2935,2935,0,0,0,0,0,0,2935,0,0,0,0,0,0,0,0,
AD,HK,85423190,2022,21627,21627,21627,0,0,0,0,0,0,21627,0,0,0,0,0,0,0,0,
AD,HK,85423990,2022,10617,10617,10617,0,0,0,0,0,0,10617,0,0,0,0,0,0,0,0,
AD,HR,85322200,2025,18312,18312,18312,0,0,0,0,0,0,18312,0,0,0,0,0,0,0,0,
AD,HR,85366930,2025,2373,2373,2373,0,0,0,0,0,0,2373,0,0,0,0,0,0,0,0,
AD,HU,39269097,2022,12803,12803,0,0,12803,0,0,0,0,0,0,0,0,12803,0,0,12803,12803,1.0
AD,HU,69032010,2023,28987,28987,0,0,28987,0,0,0,0,0,0,0,0,28987,0,0,28987,28987,1.0
AD,HU,73261910,2024,1748,1748,0,0,1748,0,0,0,0,0,0,0,0,1748,0,0,1748,1748,1.0
AD,HU,73269092,2023,14579,14579,0,0,14579,0,0,0,0,0,0,0,0,14579,0,0,14579,14579,1.0
AD,IE,35061000,2023,8064,8064,0,0,8064,0,0,0,0,0,0,0,0,8064,0,0,8064,8064,1.0
AD,IE,85389091,2023,1141,1141,1141,0,0,0,0,0,0,1141,0,0,0,0,0,0,0,0,
AD,IE,90282000,2025,3352,3352,3352,0,0,0,0,0,0,3352,0,0,0,0,0,0,0,0,
AD,IT,33069000,2023,23982,23982,23982,0,0,0,0,0,0,23982,0,0,0,0,0,0,0,0,
AD,IT,61023090,2024,1158,1158,0,0,1158,0,0,0,0,0,1158,0,0,0,0,0,1158,0,0.0
AD,IT,61102010,2024,1117,1117,0,0,1117,0,0,0,0,0,1117,0,0,0,0,0,1117,0,0.0
AD,IT,62013010,2023,4546,4546,0,0,4546,0,0,0,0,0,4546,0,0,0,0,0,4546,0,0.0
