partner_iso,partner_name,agreement,year,hs2,hs2_description,hs_section,hs_section_description,agri_flag,total_exports,total_exports_excl_special_processing,mfn_zero_exports,mfn_non_zero_exports,fta_zero_exports,fta_non_zero_exports,special_processing_exports,unknown_exports,pref_eligible_exports,pref_usage_exports,pur_percent,tariff_free_percent
CA,Canada,Canada,2021,93,Arms and ammunition; parts and accessories thereof,19,Arms & ammunition,Non-AGRI,2050401,2004924,85512,943961,975450,0,45477,0,1919411,975450,50.8,52.9
CA,Canada,Canada,2021,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",20,Miscellaneous manufactures,Non-AGRI,35142469,35064259,26476368,6633624,1954267,0,78210,0,8587891,1954267,22.8,81.1
CA,Canada,Canada,2021,95,"Toys, games and sports requisites; parts and accessories thereof",20,Miscellaneous manufactures,Non-AGRI,11046932,10021250,9544387,380487,96377,0,1025682,0,476863,96377,20.2,96.2
CA,Canada,Canada,2021,96,Miscellaneous manufactured articles,20,Miscellaneous manufactures,Non-AGRI,3274720,3214738,527266,2100384,587088,0,59982,0,2687472,587088,21.8,34.7
CA,Canada,Canada,2021,97,Works of art; collectors' pieces and antiques,21,Works of art,Non-AGRI,15740600,15632406,15565063,49228,18115,0,108194,0,67343,18115,26.9,99.7
CH,Switzerland,Switzerland,2021,01,Animals; live,1,Animals & animal products,AGRI,666344,655984,152203,503781,0,0,10360,0,404385,0,0,23.2
CH,Switzerland,Switzerland,2021,02,Meat and edible meat offal,1,Animals & animal products,AGRI,11862559,11855418,0,11855418,0,0,7141,0,83111,0,0,0
CH,Switzerland,Switzerland,2021,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,Animals & animal products,AGRI,14838444,14838444,14558635,279808,0,0,0,0,0,0,NA,98.1
CH,Switzerland,Switzerland,2021,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,Animals & animal products,AGRI,5982277,5982253,103,916732,5064148,1270,24,0,5895561,5065418,85.9,84.7
CH,Switzerland,Switzerland,2021,05,Animal originated products; not elsewhere specified or included,1,Animals & animal products,AGRI,542236,483703,10322,473381,0,0,58533,0,0,0,NA,2.1
CH,Switzerland,Switzerland,2021,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,Vegetable products,AGRI,76145,76145,1338,9600,65207,0,0,0,69345,65207,94,87.4
CH,Switzerland,Switzerland,2021,07,Vegetables and certain roots and tubers; edible,2,Vegetable products,AGRI,872320,133758,2546,130820,392,0,738562,0,1656,392,23.7,2.2
CH,Switzerland,Switzerland,2021,08,"Fruit and nuts, edible; peel of citrus fruit or melons",2,Vegetable products,AGRI,504749,494326,394797,94551,4979,0,10423,0,22201,4979,22.4,80.9
CH,Switzerland,Switzerland,2021,09,"Coffee, tea, mate and spices",2,Vegetable products,AGRI,6822884,6818717,2902789,1074412,2841515,0,4167,0,3096089,2841515,91.8,84.2
CH,Switzerland,Switzerland,2021,10,Cereals,2,Vegetable products,AGRI,288084,12056,471,11585,0,0,276028,0,0,0,NA,3.9
CH,Switzerland,Switzerland,2021,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,Vegetable products,AGRI,1185539,104723,0,104723,0,0,1080816,0,0,0,NA,0
CH,Switzerland,Switzerland,2021,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,Vegetable products,AGRI,386588,231594,231416,178,0,0,154994,0,0,0,NA,99.9
CH,Switzerland,Switzerland,2021,13,"Lac; gums, resins and other vegetable saps and extracts",2,Vegetable products,AGRI,967787,933115,933115,0,0,0,34672,0,0,0,NA,100
CH,Switzerland,Switzerland,2021,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,Vegetable products,AGRI,40111,2499,1439,0,1060,0,37612,0,1060,1060,100,100
CH,Switzerland,Switzerland,2021,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3,Fats and oil,AGRI,1633681,1333387,11706,1321347,107,227,300294,0,6658,334,5,0.9
CH,Switzerland,Switzerland,2021,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4,Prepared food and beverages,AGRI,608409,608409,130418,475918,2072,0,0,0,3158,2072,65.6,21.8
CH,Switzerland,Switzerland,2021,17,Sugars and sugar confectionery,4,Prepared food and beverages,AGRI,3948720,3790996,235927,1450569,1663686,440813,157724,0,2996790,2104499,70.2,50.1
CH,Switzerland,Switzerland,2021,18,Cocoa and cocoa preparations,4,Prepared food and beverages,AGRI,8079208,8076559,780106,6105360,462698,728395,2649,0,7296453,1191093,16.3,15.4
CH,Switzerland,Switzerland,2021,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4,Prepared food and beverages,AGRI,15815161,15811812,5315,3831352,5421834,6553312,3349,0,15794140,11975146,75.8,34.3
CH,Switzerland,Switzerland,2021,20,"Preparations of vegetables, fruit, nuts or other parts of plants",4,Prepared food and beverages,AGRI,3235223,3234169,20888,2836337,276069,100875,1054,0,793740,376943,47.5,9.2
CH,Switzerland,Switzerland,2021,21,Miscellaneous edible preparations,4,Prepared food and beverages,AGRI,31362251,30964320,0,12030233,6789920,12144167,397931,0,30957776,18934087,61.2,21.9
CH,Switzerland,Switzerland,2021,22,"Beverages, spirits and vinegar",4,Prepared food and beverages,AGRI,62142655,62135262,483569,20592790,41058619,284,7393,0,55070212,41058903,74.6,66.9
CH,Switzerland,Switzerland,2021,23,"Food industries, residues and wastes thereof; prepared animal fodder",4,Prepared food and beverages,AGRI,9008158,8428485,3951,8030999,393535,0,579673,0,5362374,393535,7.3,4.7
CH,Switzerland,Switzerland,2021,24,Tobacco and manufactured tobacco substitutes,4,Prepared food and beverages,AGRI,776142,775565,0,775565,0,0,577,0,0,0,NA,0
CH,Switzerland,Switzerland,2021,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5,Mineral products,Non-AGRI,1446105,1446105,670798,649459,125848,0,0,0,775308,125848,16.2,55.1
CH,Switzerland,Switzerland,2021,26,"Ores, slag and ash",5,Mineral products,Non-AGRI,5219,5219,4008,1212,0,0,0,0,1212,0,0,76.8
CH,Switzerland,Switzerland,2021,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5,Mineral products,Non-AGRI,1985261,1980790,1604540,315136,61114,0,4471,0,376250,61114,16.2,84.1
CH,Switzerland,Switzerland,2021,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",6,Chemical products,Non-AGRI,22015334,21698188,12067875,5362199,4268114,0,317146,0,9630312,4268114,44.3,75.3
CH,Switzerland,Switzerland,2021,29,Organic chemicals,6,Chemical products,Non-AGRI,356009617,284725908,102873457,153656632,28195819,0,71283709,0,181852451,28195819,15.5,46
CH,Switzerland,Switzerland,2021,30,Pharmaceutical products,6,Chemical products,Non-AGRI,567252974,558684966,558684966,0,0,0,8568008,0,0,0,NA,100
CH,Switzerland,Switzerland,2021,31,Fertilizers,6,Chemical products,Non-AGRI,846100,846100,596639,110834,138627,0,0,0,249461,138627,55.6,86.9
CH,Switzerland,Switzerland,2021,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",6,Chemical products,Non-AGRI,23616350,23560118,169613,12422246,10968259,0,56232,0,23390505,10968259,46.9,47.3
CH,Switzerland,Switzerland,2021,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",6,Chemical products,Non-AGRI,73498993,73164205,0,35938447,37225758,0,334788,0,73164205,37225758,50.9,50.9
CH,Switzerland,Switzerland,2021,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",6,Chemical products,Non-AGRI,13923211,13901648,1042562,7317640,5541446,0,21563,0,12859086,5541446,43.1,47.4
CH,Switzerland,Switzerland,2021,35,Albuminoidal substances; modified starches; glues; enzymes,6,Chemical products,Non-AGRI,4273280,3856491,250913,2916862,688716,0,416789,0,3521881,688716,19.6,24.4
CH,Switzerland,Switzerland,2021,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6,Chemical products,Non-AGRI,1564105,1378812,0,1360373,18439,0,185293,0,1378812,18439,1.3,1.3
CH,Switzerland,Switzerland,2021,37,Photographic or cinematographic goods,6,Chemical products,Non-AGRI,1028194,1028194,951318,70356,6520,0,0,0,76877,6520,8.5,93.2
CH,Switzerland,Switzerland,2021,38,Chemical products n.e.c.,6,Chemical products,Non-AGRI,84056727,72639728,29866378,18564169,24209181,0,11416999,0,42738007,24209181,56.6,74.4
CH,Switzerland,Switzerland,2021,39,Plastics and articles thereof,7,Plastics & rubber,Non-AGRI,109158946,108353251,7271426,51908491,49173335,0,805695,0,101081826,49173335,48.6,52.1
CH,Switzerland,Switzerland,2021,40,Rubber and articles thereof,7,Plastics & rubber,Non-AGRI,16547716,16423843,15012,8362038,8046793,0,123873,0,16408831,8046793,49,49.1
CH,Switzerland,Switzerland,2021,41,Raw hides and skins (other than furskins) and leather,8,Leather & hides,Non-AGRI,183830,178309,204,145869,32236,0,5521,0,178105,32236,18.1,18.2
CH,Switzerland,Switzerland,2021,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,Leather & hides,Non-AGRI,9457913,9076945,0,8648551,428394,0,380968,0,9076945,428394,4.7,4.7
CH,Switzerland,Switzerland,2021,43,Furskins and artificial fur; manufactures thereof,8,Leather & hides,Non-AGRI,282319,259590,20,255962,3608,0,22729,0,259571,3608,1.4,1.4
CH,Switzerland,Switzerland,2021,44,Wood and articles of wood; wood charcoal,9,Wood & wood products,Non-AGRI,1596378,1543727,4640,974082,565006,0,52651,0,1539087,565006,36.7,36.9
CH,Switzerland,Switzerland,2021,45,Cork and articles of cork,9,Wood & wood products,Non-AGRI,66501,66501,0,32083,34419,0,0,0,66501,34419,51.8,51.8
CH,Switzerland,Switzerland,2021,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9,Wood & wood products,Non-AGRI,112183,110286,0,103360,6927,0,1897,0,110286,6927,6.3,6.3
CH,Switzerland,Switzerland,2021,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,10,"Paper, printed products",Non-AGRI,9412,9386,8274,1112,0,0,26,0,1112,0,0,88.2
CH,Switzerland,Switzerland,2021,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",10,"Paper, printed products",Non-AGRI,22333728,22321409,55,8790370,13530984,0,12319,0,22321354,13530984,60.6,60.6
CH,Switzerland,Switzerland,2021,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",10,"Paper, printed products",Non-AGRI,42974481,42833132,30141187,9934630,2757315,0,141349,0,12691945,2757315,21.7,76.8
CH,Switzerland,Switzerland,2021,50,Silk,11,Textiles & textile articles,Non-AGRI,158488,158201,157562,639,0,0,287,0,639,0,0,99.6
